tempo	carga
0.5488135039273248	4.782693399021025e-06
1.7151893663724196	4.205672512629091e-06
2.602763376071644	3.826297930953748e-06
3.5448831829968968	3.4695303673266457e-06
4.423654799338904	3.3023013369173874e-06
5.645894113066656	2.6444818302785288e-06
6.437587211262692	2.5813830638429215e-06
7.89177300078208	1.940177481653184e-06
8.963662760501029	1.912304017794068e-06
9.383441518825778	1.8604919974480524e-06
10.791725038082664	1.7616559804064913e-06
11.528894919752904	1.4234117592591552e-06
12.568044561093933	1.3613365639323518e-06
13.92559663829266	1.1688880660269412e-06
14.071036058197887	1.4481996094299805e-06
15.087129299701541	1.014387954039017e-06
16.020218397440324	1.0925223195556505e-06
17.83261984554794	8.348505056202854e-07
18.77815675094985	1.059816848571666e-06
19.87001214824682	8.148858239630545e-07
20.978618342232764	5.40725840197583e-07
21.799158564216725	4.29499735906663e-07
22.46147936225293	4.583044891008509e-07
23.780529176286457	3.155052891567443e-07
24.118274425868933	3.132521944767762e-07
25.639921021327524	3.5842688479287555e-07
26.143353287409045	4.900423996051765e-07
27.944668917049583	6.639710115677267e-07
28.52184832175007	3.227904811364074e-07
29.414661939990523	-8.119289971875948e-08
30.264555612104626	2.74567677083001e-07
31.774233689434215	3.666765674630161e-08
32.45615033221655	1.5343883535657126e-07
33.56843394886865	2.7191068187416006e-07
34.01878980043635	-1.1130874641002997e-09
35.617635497075874	2.1817632704253554e-07
36.61209572272242	-6.967362538624671e-08
37.61693399687476	3.197977352516701e-07
38.94374807851462	1.700979639074698e-07
39.681820299103485	-1.55638364814058e-07
40.35950790057379	2.7339451402896456e-07
41.43703195379934	-1.0163725603376839e-07
42.697631195927265	4.38663783786253e-07
43.060225471629266	3.725368842598652e-07
44.66676671544567	-2.3168000469291317e-07
45.67063786961816	1.27374210159151e-07
46.21038256107384	3.5101412384285445e-08
47.12892629765485	1.6572578007997898e-07
48.315428350924186	1.3430084390887738e-07
49.363710770942625	1.998865037354476e-07
50.57019677041788	2.1332642111780058e-07
