tempo,carga
0.5488135039273248,3.547330291573771e-07
1.7151893663724196,9.85753187897965e-07
2.602763376071644,1.1662162386979238e-06
3.5448831829968968,1.5341137880497934e-06
4.423654799338904,1.8196880721577203e-06
5.645894113066656,2.2876538804828343e-06
6.437587211262692,2.4240873255267498e-06
7.89177300078208,2.822170519615632e-06
8.963662760501029,3.0086365730638124e-06
9.383441518825778,3.075417959038324e-06
10.791725038082664,3.322691748481728e-06
11.528894919752904,3.552650065249192e-06
12.568044561093933,3.60482706426097e-06
13.92559663829266,3.797123618118449e-06
14.071036058197887,3.849487817140005e-06
15.087129299701541,4.0582262078497895e-06
16.020218397440324,4.011976615296892e-06
17.83261984554794,4.32714423918552e-06
18.77815675094985,4.254600799503581e-06
19.87001214824682,4.509762088467382e-06
20.978618342232764,4.480137537745095e-06
21.799158564216725,4.630097003840448e-06
22.46147936225293,4.591939043551983e-06
23.780529176286457,4.684197932590587e-06
24.118274425868933,4.559580997661608e-06
25.639921021327524,4.671577656498399e-06
26.143353287409045,4.65795712530202e-06
27.944668917049583,4.753490720178686e-06
28.52184832175007,4.7351551502876e-06
29.414661939990523,4.799655265280082e-06
30.264555612104626,4.840416629889558e-06
31.774233689434215,4.804364778397447e-06
32.45615033221655,4.943771400052337e-06
33.56843394886865,4.939094902457678e-06
34.01878980043635,4.886524792545568e-06
35.617635497075874,4.962706032537879e-06
36.61209572272242,4.890281071106419e-06
37.61693399687476,4.9989675738030236e-06
38.94374807851462,5.084078754796601e-06
39.681820299103485,4.9691749120928605e-06
40.35950790057379,5.045137712313838e-06
41.43703195379934,4.94703959688092e-06
42.697631195927265,5.0733399630430526e-06
43.060225471629266,4.990445782062088e-06
44.66676671544567,4.979211160770898e-06
45.67063786961816,5.065360499024514e-06
46.21038256107384,4.954808651016489e-06
47.12892629765485,5.120894167186769e-06
48.315428350924186,4.96106805083295e-06
49.363710770942625,5.099660262234191e-06
50.57019677041788,5.022179096942e-06
