tempo	posicao
1.152508358247382	88.4196708159778
2.501897669382081	75.9588201514624
3.2658030897504524	60.92524096373622
4.144254684293483	51.880538118920676
4.8896750786117	43.54062119684196
6.356377637439978	32.039733158974826
6.918933143651654	23.794819311887306
8.872723301642367	7.60007718552023
9.805227189534133	-1.7213542603376515
10.023691797052162	-4.076606965586775
11.662622579973595	-16.837276190779125
12.1106793314811	-16.177385715506496
13.192893578297259	-27.02722561635481
14.149175722215563	-32.513414452508364
14.943752940414589	-35.85877404472548
15.182971529373235	-34.00102115747695
16.042458634624683	-43.532133558658444
18.74850167565067	-49.98832866049809
19.634129176994687	-58.19623331094467
20.827025511318322	-55.474867479768335
22.055098518688805	-61.828879664153256
22.67823298485512	-59.40413835694147
22.969106660731157	-62.4695027532786
24.24837629432476	-63.05810854264105
24.639111270201557	-68.26268092049668
26.301041903558996	-66.99769470504053
26.3438341447878	-68.12906859172732
28.983804725804127	-64.70124595691219
29.09588147567515	-65.77278543946315
29.8707900739801	-63.02836379503645
30.555566785419717	-60.911861854292496
32.62589074781185	-57.57536047507386
32.957915697654755	-52.04954745049224
34.039458580916346	-48.875566251986584
34.193711292624165	-50.35804737670469
36.29703454385934	-38.83003352637496
37.285401017717085	-36.50234739201842
38.29556139343699	-27.173167036162226
39.98187096488071	-13.621747697322867
40.43182262811732	-14.700641240480945
40.75496659120495	-9.900867563360679
41.917767102978615	-4.733587577002148
43.12647349042147	9.343313983357298
43.46502551144726	9.282621679506347
45.4002101024359	26.374377538713823
46.408339526198134	39.230671097815836
46.44180337825507	35.60758416212249
47.27074522507519	49.91373081203633
48.66239953694079	59.42895652633131
49.76379261897951	76.92417566703985
51.197413217877546	91.61746403046264
